model,model_type,test_season,train_games,test_games,model_mae,zero_residual_baseline_mae,avg_pred_residual,avg_actual_residual,log_loss,base_over_rate,test_over_rate,avg_pred_over_prob
ridge,regression,2016,1445,719,14.001267994094599,13.201668984700973,0.14968375666811046,1.0751043115438108,,,,
ridge,regression,2017,2164,745,14.375464768317473,13.774496644295303,1.9136494404274864,-0.21073825503355706,,,,
ridge,regression,2018,2909,812,13.099781469297376,12.800492610837438,-0.3831086112063037,0.5086206896551724,,,,
ridge,regression,2019,3721,841,13.178912506747453,12.969084423305588,0.329869994028994,-0.020214030915576695,,,,
ridge,regression,2020,4562,541,14.366077075123282,13.862292051756008,2.4826030727042614,0.7717190388170055,,,,
ridge,regression,2021,5103,849,12.851049965248178,12.37279151943463,1.6417848593469406,-0.5341578327444052,,,,
ridge,regression,2022,5952,1413,12.702245623814253,12.566878980891719,0.4731514172828116,0.6588818117480538,,,,
ridge,regression,2023,7365,1345,12.734852496159004,12.643494423791822,1.297625224394486,0.7386617100371747,,,,
ridge,regression,2024,8710,1503,12.952485226703061,12.932135728542914,0.32017841506370603,0.9401197604790419,,,,
ridge,regression,2025,10213,1544,12.432599684585679,12.251295336787564,0.5827377541673032,0.2661917098445596,,,,
elastic_net,regression,2016,1445,719,13.755306925405312,13.201668984700973,0.06551416517715644,1.0751043115438108,,,,
elastic_net,regression,2017,2164,745,14.157444203135347,13.774496644295303,0.9396706242283405,-0.21073825503355706,,,,
elastic_net,regression,2018,2909,812,12.954030945231112,12.800492610837438,-0.39001324199432136,0.5086206896551724,,,,
elastic_net,regression,2019,3721,841,13.074082959764672,12.969084423305588,0.21689548200771397,-0.020214030915576695,,,,
elastic_net,regression,2020,4562,541,14.147808587671033,13.862292051756008,0.9123411195091947,0.7717190388170055,,,,
elastic_net,regression,2021,5103,849,12.520479541267806,12.37279151943463,0.6109007714396701,-0.5341578327444052,,,,
elastic_net,regression,2022,5952,1413,12.618303400557958,12.566878980891719,0.13303409245264147,0.6588818117480538,,,,
elastic_net,regression,2023,7365,1345,12.67251320671438,12.643494423791822,0.8668144345621661,0.7386617100371747,,,,
elastic_net,regression,2024,8710,1503,12.938796758639603,12.932135728542914,0.6191523305511432,0.9401197604790419,,,,
elastic_net,regression,2025,10213,1544,12.355111603733059,12.251295336787564,0.4432656246205384,0.2661917098445596,,,,
random_forest,regression,2016,1445,719,13.259425256901055,13.201668984700973,0.5360304078321096,1.0751043115438108,,,,
random_forest,regression,2017,2164,745,13.805408122158235,13.774496644295303,0.59604307486435,-0.21073825503355706,,,,
random_forest,regression,2018,2909,812,12.744002783167188,12.800492610837438,-0.10900141188901587,0.5086206896551724,,,,
random_forest,regression,2019,3721,841,13.00946539971755,12.969084423305588,0.4888234240235792,-0.020214030915576695,,,,
random_forest,regression,2020,4562,541,13.928033797696111,13.862292051756008,0.027412699797970078,0.7717190388170055,,,,
random_forest,regression,2021,5103,849,12.354868460309298,12.37279151943463,0.2579271213150466,-0.5341578327444052,,,,
random_forest,regression,2022,5952,1413,12.518173884356257,12.566878980891719,0.3082388000031791,0.6588818117480538,,,,
random_forest,regression,2023,7365,1345,12.743124615106197,12.643494423791822,0.8036894649028544,0.7386617100371747,,,,
random_forest,regression,2024,8710,1503,13.04099352115802,12.932135728542914,0.7172172523927702,0.9401197604790419,,,,
random_forest,regression,2025,10213,1544,12.322325597192409,12.251295336787564,0.5919443537252692,0.2661917098445596,,,,
extra_trees,regression,2016,1445,719,13.208439744390029,13.201668984700973,0.4056881780640428,1.0751043115438108,,,,
extra_trees,regression,2017,2164,745,13.846267085910632,13.774496644295303,0.6188601096420191,-0.21073825503355706,,,,
extra_trees,regression,2018,2909,812,12.766315320853183,12.800492610837438,0.03559210079123318,0.5086206896551724,,,,
extra_trees,regression,2019,3721,841,13.020387397947252,12.969084423305588,0.47701140613613874,-0.020214030915576695,,,,
extra_trees,regression,2020,4562,541,13.94815543548949,13.862292051756008,0.2700931449693886,0.7717190388170055,,,,
extra_trees,regression,2021,5103,849,12.368091422687916,12.37279151943463,0.13175910465635593,-0.5341578327444052,,,,
extra_trees,regression,2022,5952,1413,12.551230844097244,12.566878980891719,0.3028022145456014,0.6588818117480538,,,,
extra_trees,regression,2023,7365,1345,12.765425294192786,12.643494423791822,0.7741118815646229,0.7386617100371747,,,,
extra_trees,regression,2024,8710,1503,13.013148879801061,12.932135728542914,0.5267855715665197,0.9401197604790419,,,,
extra_trees,regression,2025,10213,1544,12.27125274886222,12.251295336787564,0.6987376894466251,0.2661917098445596,,,,
hist_gradient_boosting,regression,2016,1445,719,13.666095515986262,13.201668984700973,0.5674417117159057,1.0751043115438108,,,,
hist_gradient_boosting,regression,2017,2164,745,14.058076537841666,13.774496644295303,0.6846984030977373,-0.21073825503355706,,,,
hist_gradient_boosting,regression,2018,2909,812,13.20093402467386,12.800492610837438,-0.13459005128857818,0.5086206896551724,,,,
hist_gradient_boosting,regression,2019,3721,841,13.246523597025076,12.969084423305588,0.7941859780972761,-0.020214030915576695,,,,
hist_gradient_boosting,regression,2020,4562,541,14.244304046017907,13.862292051756008,-0.1046092764650046,0.7717190388170055,,,,
hist_gradient_boosting,regression,2021,5103,849,12.628116200392698,12.37279151943463,-1.4854049018813016,-0.5341578327444052,,,,
hist_gradient_boosting,regression,2022,5952,1413,12.61325830435204,12.566878980891719,0.7965256480689147,0.6588818117480538,,,,
hist_gradient_boosting,regression,2023,7365,1345,12.876689767725399,12.643494423791822,0.776304749526999,0.7386617100371747,,,,
hist_gradient_boosting,regression,2024,8710,1503,13.042302402265141,12.932135728542914,0.5856671300945806,0.9401197604790419,,,,
hist_gradient_boosting,regression,2025,10213,1544,12.283342555944301,12.251295336787564,0.45408260924080013,0.2661917098445596,,,,
logistic_over_prob,classifier,2016,1426,711,,,,,0.7602933026421109,0.48176718092566617,0.4880450070323488,0.5239149302546268
logistic_over_prob,classifier,2017,2137,737,,,,,0.7483034572437294,0.4838558727187646,0.46404341926729986,0.54153747361522
logistic_over_prob,classifier,2018,2874,805,,,,,0.7179344184075738,0.47877522616562285,0.4956521739130435,0.5047959190603346
logistic_over_prob,classifier,2019,3679,827,,,,,0.7194129067294867,0.48246806197336234,0.4860943168077388,0.5154570102895314
logistic_over_prob,classifier,2020,4506,533,,,,,0.7206219897611016,0.48313359964491787,0.49906191369606,0.5475200051973476
logistic_over_prob,classifier,2021,5039,841,,,,,0.7193263267406205,0.4848184163524509,0.4756242568370987,0.5087323465707785
logistic_over_prob,classifier,2022,5880,1395,,,,,0.7089969309700187,0.4835034013605442,0.5096774193548387,0.5266685764533082
logistic_over_prob,classifier,2023,7275,1327,,,,,0.7004970554721535,0.4885223367697594,0.4981160512434062,0.5208813280120537
logistic_over_prob,classifier,2024,8602,1488,,,,,0.6998546221396794,0.4900023250406882,0.4939516129032258,0.509420628024713
logistic_over_prob,classifier,2025,10090,1544,,,,,0.7466580871103714,0.4905847373637265,0.4851036269430052,0.49861935937010876
