model,threshold,season,week,game_id,home_team,away_team,line_provider,closing_total,actual_total_points,market_residual,pred_market_residual,side,result,total_bin,wind_bin,temp_bin,game_indoors_bool,precip_flag,snow_flag,home_conference,away_conference,fbs_vs_fbs
hist_gradient_boosting,1.5,2016,1,400869090,California,Hawai'i,teamrankings,66.0,82.0,16.0,-5.0682476300282016,under,loss,63+,5-10,50-70,False,False,False,Pac-12,Mountain West,True
hist_gradient_boosting,1.5,2016,1,400869421,Wake Forest,Tulane,teamrankings,43.0,10.0,-33.0,-2.505373913600067,under,win,42-49,0-5,70-85,False,False,False,ACC,American Athletic,True
hist_gradient_boosting,1.5,2016,1,400869341,Louisville,Charlotte,teamrankings,58.5,84.0,25.5,3.8908211138895235,over,win,56-63,10-15,70-85,False,False,False,ACC,Conference USA,True
hist_gradient_boosting,1.5,2016,1,400868977,Tennessee,App State,teamrankings,58.0,33.0,-25.0,5.762470705708127,over,loss,56-63,0-5,70-85,False,False,False,SEC,Sun Belt,True
hist_gradient_boosting,1.5,2016,1,400869342,Florida International,Indiana,teamrankings,64.0,47.0,-17.0,-4.262248586225167,under,win,63+,10-15,85+,False,False,False,Conference USA,Big Ten,True
hist_gradient_boosting,1.5,2016,1,400869347,Western Kentucky,Rice,teamrankings,64.5,60.0,-4.5,2.0090127728483536,over,loss,63+,5-10,70-85,False,False,False,Conference USA,Conference USA,True
hist_gradient_boosting,1.5,2016,1,400868968,Vanderbilt,South Carolina,teamrankings,40.5,23.0,-17.5,12.888369828428775,over,loss,<=42,5-10,70-85,False,False,False,SEC,SEC,True
hist_gradient_boosting,1.5,2016,1,400869092,Minnesota,Oregon State,teamrankings,56.0,53.0,-3.0,7.5344063549437275,over,loss,49-56,5-10,50-70,False,False,False,Big Ten,Pac-12,True
hist_gradient_boosting,1.5,2016,1,400869258,Georgia State,Ball State,teamrankings,56.0,52.0,-4.0,1.6409527283450684,over,loss,49-56,0-5,70-85,False,False,False,Sun Belt,Mid-American,True
hist_gradient_boosting,1.5,2016,1,400869093,Colorado,Colorado State,teamrankings,56.0,51.0,-5.0,-4.639235337428773,under,win,49-56,0-5,70-85,False,False,False,Pac-12,Mountain West,True
hist_gradient_boosting,1.5,2016,1,400869265,Arkansas State,Toledo,teamrankings,64.0,41.0,-23.0,-1.6331747534962484,under,win,63+,5-10,70-85,False,False,False,Sun Belt,Mid-American,True
hist_gradient_boosting,1.5,2016,1,400869094,Stanford,Kansas State,teamrankings,49.0,39.0,-10.0,-1.888557712622327,under,win,42-49,15-20,70-85,False,False,False,Pac-12,Big 12,True
hist_gradient_boosting,1.5,2016,1,400869424,Boston College,Georgia Tech,teamrankings,42.5,31.0,-11.5,-4.052203905997867,under,win,42-49,20+,50-70,False,False,False,ACC,ACC,True
