model,threshold,total_bin,games,graded,wins,losses,pushes,hit_rate,hit_rate_minus_breakeven,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_each,roi_per_1u,avg_market_residual,avg_abs_pred_edge
elastic_net,1.5,42-49,1174,1160,605,555,14,0.521551724137931,-0.002257799671592786,0.4927809326264218,0.5501802400967392,-4.9999999999999964,-0.004310344827586204,1.0868824531516184,2.9122309370824175
elastic_net,1.5,49-56,1697,1681,839,842,16,0.4991076740035693,-0.024701849805954523,0.4752345729765884,0.5229848442077926,-79.27272727272725,-0.047158076902276774,0.34767236299351795,3.2009289495238185
elastic_net,1.5,56-63,1130,1109,559,550,21,0.5040577096483319,-0.019751814161191983,0.47466753390243277,0.5334198704505319,-41.81818181818181,-0.037708008853184684,-0.05752212389380531,3.2471039768325327
elastic_net,1.5,63+,701,697,354,343,4,0.5078909612625538,-0.015918562546969994,0.47083402096817645,0.5448613943724654,-21.181818181818183,-0.03038998304421547,-1.4650499286733238,3.4261476376618205
elastic_net,1.5,<=42,246,240,133,107,6,0.5541666666666667,0.03035714285714286,0.49091837418388323,0.6157082227544571,13.90909090909091,0.05795454545454546,2.5934959349593494,2.7378368478532478
elastic_net,2.5,42-49,541,533,286,247,8,0.5365853658536586,0.012775842044134733,0.49413976949422267,0.5785073577030735,12.999999999999996,0.02439024390243902,0.8678373382624769,4.0545043549392235
elastic_net,2.5,49-56,842,834,395,439,8,0.473621103117506,-0.05018842069201784,0.43993224981233936,0.5075518569687038,-79.9090909090909,-0.09581425768476128,0.33669833729216153,4.482221253977645
elastic_net,2.5,56-63,619,608,312,296,11,0.5131578947368421,-0.01065162907268169,0.47346963479062665,0.5526809244390825,-12.363636363636356,-0.02033492822966506,0.05896607431340872,4.31962532852309
elastic_net,2.5,63+,418,415,205,210,3,0.4939759036144578,-0.029833620195066024,0.4461494150156765,0.5419128978013885,-23.636363636363637,-0.056955093099671415,-2.022727272727273,4.4110748288505075
elastic_net,2.5,<=42,109,106,63,43,3,0.5943396226415094,0.07053009883198558,0.4991537444652249,0.6829266330966459,14.272727272727272,0.1346483704974271,2.7752293577981653,3.7142090319759156
elastic_net,3.5,42-49,254,246,134,112,8,0.5447154471544715,0.020905923344947674,0.48227221493168637,0.6057835772182197,9.818181818181815,0.039911308203991115,0.23622047244094488,5.377464616157791
elastic_net,3.5,49-56,465,463,217,246,2,0.468682505399568,-0.05512701840995582,0.4236718540869136,0.5142085747351965,-48.727272727272734,-0.10524248969173376,0.8881720430107527,5.733276675703904
elastic_net,3.5,56-63,326,319,158,161,7,0.4952978056426332,-0.02851171816689063,0.4408141078392965,0.5498934094075513,-17.36363636363636,-0.054431461954972914,0.17177914110429449,5.563654055976739
elastic_net,3.5,63+,235,234,122,112,1,0.5213675213675214,-0.0024420024420024333,0.45753439435272936,0.5845103951206009,-1.090909090909089,-0.004662004662004654,-1.6936170212765957,5.525066980812068
elastic_net,3.5,<=42,33,32,17,15,1,0.53125,0.007440476190476164,0.3644923793257382,0.6913087009831766,0.45454545454545414,0.014204545454545442,-1.2575757575757576,5.614000497068659
