model,threshold,temp_bin,games,graded,wins,losses,pushes,hit_rate,hit_rate_minus_breakeven,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_each,roi_per_1u,avg_market_residual,avg_abs_pred_edge
elastic_net,1.5,35-50,651,641,345,296,10,0.5382215288611545,0.01441200505163065,0.49951387438467243,0.5764737790173414,17.636363636363633,0.0275138278258403,0.6190476190476191,3.1701259643725765
elastic_net,1.5,50-70,1818,1799,922,877,19,0.5125069483046136,-0.011302575504910206,0.489406893812082,0.5355537017277591,-38.81818181818181,-0.02157764414573753,0.09158415841584158,3.3508219210117103
elastic_net,1.5,70-85,1834,1816,923,893,18,0.5082599118942731,-0.015549611915250727,0.48527304983981767,0.5312119013779146,-53.90909090909089,-0.029685622747296747,0.22464558342420937,3.020450791124038
elastic_net,1.5,85+,454,446,210,236,8,0.47085201793721976,-0.05295750587230408,0.42497307116132843,0.5172288061216974,-45.090909090909086,-0.10110069302894414,1.4878854625550662,2.987568788854196
elastic_net,1.5,<=35,114,111,53,58,3,0.4774774774774775,-0.04633204633204635,0.3868721294381169,0.5695896405128417,-9.818181818181818,-0.08845208845208845,-0.956140350877193,3.052762247423855
elastic_net,1.5,missing,77,74,37,37,3,0.5,-0.023809523809523836,0.38892400848268727,0.6110759915173127,-3.363636363636365,-0.04545454545454548,-1.7662337662337662,2.5451463298288224
elastic_net,2.5,35-50,349,340,187,153,9,0.55,0.02619047619047621,0.4968530904975825,0.6020296508577395,17.000000000000004,0.05000000000000001,-0.06876790830945559,4.223580335654574
elastic_net,2.5,50-70,949,940,471,469,9,0.5010638297872341,-0.022745694022289764,0.46916061215162297,0.5329583874771284,-40.81818181818181,-0.04342359767891682,-0.18229715489989462,4.639462848442445
elastic_net,2.5,70-85,904,894,447,447,10,0.5,-0.023809523809523836,0.46729409177376224,0.5327059082262378,-40.63636363636363,-0.04545454545454545,0.18584070796460178,4.125644187475774
elastic_net,2.5,85+,237,235,110,125,2,0.46808510638297873,-0.0557244174265451,0.4053137155505193,0.5318831546764429,-24.999999999999993,-0.10638297872340423,1.4936708860759493,3.940593212913749
elastic_net,2.5,<=35,60,58,32,26,2,0.5517241379310345,0.02791461412151064,0.4245185822161052,0.6725034870705885,3.090909090909091,0.05329153605015674,-0.8083333333333333,4.072041728593562
elastic_net,2.5,missing,30,29,14,15,1,0.4827586206896552,-0.04105090311986864,0.3138581933079522,0.6556926202943085,-2.2727272727272725,-0.07836990595611285,-1.0,3.5112690734124516
elastic_net,3.5,35-50,171,165,96,69,6,0.5818181818181818,0.058008658008657954,0.5055299515621888,0.6543832451855321,18.272727272727266,0.11074380165289252,-1.0614035087719298,5.590841056489325
elastic_net,3.5,50-70,511,505,250,255,6,0.49504950495049505,-0.02876001885902879,0.451644496328417,0.538529263049747,-27.72727272727272,-0.05490549054905489,0.08806262230919765,6.095967568785132
elastic_net,3.5,70-85,470,465,228,237,5,0.49032258064516127,-0.03348694316436257,0.4451504451772185,0.5356533060257463,-29.727272727272723,-0.06392961876832844,-0.3393617021276596,5.237250686247108
elastic_net,3.5,85+,121,120,56,64,1,0.4666666666666667,-0.05714285714285716,0.3798276424616983,0.5555737089420304,-13.09090909090909,-0.10909090909090909,3.024793388429752,4.946564046577056
elastic_net,3.5,<=35,30,30,13,17,0,0.43333333333333335,-0.09047619047619049,0.2737723743061511,0.6080299045459127,-5.181818181818182,-0.17272727272727273,-1.2666666666666666,5.056606802827166
elastic_net,3.5,missing,10,9,5,4,1,0.5555555555555556,0.031746031746031744,0.2666473457440297,0.811224570528086,0.5454545454545453,0.06060606060606059,5.75,4.644012128325501
elastic_net,5.0,35-50,79,77,49,28,2,0.6363636363636364,0.11255411255411252,0.5248199544762014,0.7349472940691019,16.54545454545454,0.21487603305785116,-0.4810126582278481,7.327278896218521
elastic_net,5.0,50-70,220,219,122,97,1,0.5570776255707762,0.03326810176125239,0.4908664122530698,0.6213208992722467,13.909090909090907,0.0635118306351183,0.10454545454545454,8.677862420687699
elastic_net,5.0,70-85,197,195,97,98,2,0.49743589743589745,-0.02637362637362639,0.4279883087282199,0.5669825625582715,-9.818181818181817,-0.05034965034965034,0.2868020304568528,6.768254082370715
elastic_net,5.0,85+,49,49,28,21,0,0.5714285714285714,0.04761904761904756,0.4327024751701555,0.6997689110104294,4.454545454545454,0.0909090909090909,4.142857142857143,6.180090885383744
elastic_net,5.0,<=35,13,13,5,8,0,0.38461538461538464,-0.1391941391941392,0.17709446581236818,0.6447751902773146,-3.454545454545454,-0.26573426573426573,-2.6153846153846154,6.313501334141359
elastic_net,5.0,missing,3,2,1,1,1,0.5,-0.023809523809523836,0.09452865480086614,0.9054713451991339,-0.09090909090909094,-0.04545454545454547,8.833333333333334,5.862277325173888
extra_trees,1.5,35-50,408,401,221,180,7,0.5511221945137157,0.027312670704191855,0.5021837966866829,0.5990903806705847,20.90909090909091,0.05214237134436636,1.3075980392156863,2.4760702914602053
extra_trees,1.5,50-70,1253,1242,655,587,11,0.5273752012882448,0.003565677478720941,0.49956749835342,0.5550140792724998,8.45454545454546,0.006807202459376377,0.1636073423782921,2.5391330598315296
extra_trees,1.5,70-85,1308,1297,642,655,11,0.49498843484965305,-0.02882108895987079,0.4678330798728257,0.5221733897849713,-71.36363636363635,-0.055022078923389624,0.3283639143730887,2.499889920723218
extra_trees,1.5,85+,361,359,186,173,2,0.5181058495821727,-0.005703674227351185,0.46649965178405106,0.5693286545622994,-3.909090909090912,-0.010888832615852122,0.46537396121883656,2.5046363420870774
extra_trees,1.5,<=35,77,76,37,39,1,0.4868421052631579,-0.03696741854636593,0.377835392150506,0.5971150096450492,-5.363636363636363,-0.07057416267942583,-0.474025974025974,2.3479857812071976
extra_trees,1.5,missing,79,78,37,41,1,0.47435897435897434,-0.0494505494505495,0.36737081694801105,0.5837542832455336,-7.363636363636364,-0.09440559440559441,-0.7721518987341772,2.787133386563145
extra_trees,2.5,35-50,143,142,78,64,1,0.5492957746478874,0.025486250838363533,0.4672327915920091,0.628761766887876,6.909090909090908,0.04865556978233034,0.965034965034965,3.48889707745577
extra_trees,2.5,50-70,454,451,239,212,3,0.5299334811529933,0.006123957343469488,0.4838112773895192,0.5755500475200757,5.272727272727274,0.011691191292078214,-0.381057268722467,3.6018932598664115
extra_trees,2.5,70-85,481,474,230,244,7,0.48523206751054854,-0.0385774562989753,0.4405386104185056,0.5301629777228365,-34.90909090909091,-0.07364787111622555,0.7765072765072765,3.4598437619271207
extra_trees,2.5,85+,149,149,84,65,0,0.5637583892617449,0.039948865452221094,0.48351729634174523,0.6407944093718824,11.363636363636363,0.0762660158633313,1.2684563758389262,3.257039360559057
extra_trees,2.5,<=35,23,23,11,12,0,0.4782608695652174,-0.04554865424430643,0.2923686953994572,0.6703757013578151,-2.0,-0.08695652173913043,2.6739130434782608,3.481189139110151
extra_trees,2.5,missing,37,37,19,18,0,0.5135135135135135,-0.01029601029601035,0.3589463722598092,0.6655384667278896,-0.7272727272727258,-0.019656019656019617,-2.391891891891892,3.7374290685959064
extra_trees,3.5,35-50,58,58,27,31,0,0.46551724137931033,-0.058292282430213505,0.34331815357826717,0.5920004668972703,-6.454545454545453,-0.11128526645768023,4.362068965517241,4.270353042932424
extra_trees,3.5,50-70,200,199,104,95,1,0.5226130653266332,-0.0011964584828906277,0.4534445048514412,0.5909250919176634,-0.45454545454545325,-0.0022841480127912222,-1.7325,4.4376363513061685
extra_trees,3.5,70-85,163,163,78,85,0,0.4785276073619632,-0.04528191644756063,0.40321973370179265,0.5548243032769944,-14.09090909090909,-0.08644729503625209,0.21779141104294478,4.574877400925222
extra_trees,3.5,85+,40,40,25,15,0,0.625,0.10119047619047616,0.47032160054531913,0.7577722646420829,7.727272727272726,0.19318181818181815,5.4,4.08590031913489
extra_trees,3.5,<=35,9,9,4,5,0,0.4444444444444444,-0.07936507936507942,0.188775429471914,0.7333526542559703,-1.3636363636363638,-0.15151515151515152,0.6666666666666666,4.292515759921923
extra_trees,3.5,missing,20,20,10,10,0,0.5,-0.023809523809523836,0.2992949144298199,0.7007050855701801,-0.9090909090909084,-0.04545454545454542,-0.6,4.447516576259001
extra_trees,5.0,35-50,7,7,4,3,0,0.5714285714285714,0.04761904761904756,0.2504542304090258,0.8417830777373732,0.6363636363636362,0.0909090909090909,10.071428571428571,5.77723106275818
extra_trees,5.0,50-70,49,49,24,25,0,0.4897959183673469,-0.03401360544217691,0.3557488315940086,0.6253266846659078,-3.1818181818181808,-0.06493506493506492,-0.19387755102040816,5.653995297442377
extra_trees,5.0,70-85,40,40,25,15,0,0.625,0.10119047619047616,0.47032160054531913,0.7577722646420829,7.727272727272727,0.19318181818181818,3.4625,6.10928353354809
extra_trees,5.0,85+,4,4,4,0,0,1.0,0.47619047619047616,0.5100999795960008,1.0,3.6363636363636362,0.9090909090909091,0.625,5.420840789468654
extra_trees,5.0,<=35,2,2,1,1,0,0.5,-0.023809523809523836,0.09452865480086614,0.9054713451991339,-0.09090909090909094,-0.04545454545454547,3.0,5.600402012768641
extra_trees,5.0,missing,6,6,2,4,0,0.3333333333333333,-0.19047619047619052,0.09676933255921683,0.7000116786584712,-2.1818181818181817,-0.3636363636363636,0.3333333333333333,5.44178604731654
hist_gradient_boosting,1.5,35-50,752,738,391,347,14,0.5298102981029811,0.006000774293457245,0.4937388280851373,0.5655730250112649,8.454545454545453,0.0114560236511456,1.0139627659574468,4.107924211789089
hist_gradient_boosting,1.5,50-70,2185,2160,1126,1034,25,0.5212962962962963,-0.0025132275132275783,0.5002100554944012,0.5423069198701541,-10.363636363636365,-0.0047979797979797985,0.24988558352402745,4.071353719043586
